GDP,CPI,TAMIT,RS,HS,PPI,MTIS,U,MS,PI
1594.15,-0.14,994.97,498.6,1.2,-0.49,1213.43,6.55,940.42,269.82
1563.52,-0.06,994.99,488.69,1.13,-0.49,1272.13,6.48,968.39,278.02
1635.52,-0.03,994.99,438.39,1.25,-0.49,1319.76,6.2,937.44,277.91
1606.01,-0.04,995.03,443.16,1.33,-0.46,1316.79,6.34,965.97,282.38
1486.48,-0.1,995.03,496.62,1.21,-0.5,1285.61,6.34,1046.86,284.57
1433.59,-0.05,995.08,529.09,1.33,-0.48,1291.61,6.28,1037.98,291.41
1456.65,-0.05,995.11,535.7,1.37,-0.47,1238.65,6.58,1050.41,288.35
1491.3,-0.13,995.1,531.07,1.37,-0.53,1255.4,6.79,1056.26,274.1
1496.91,-0.05,995.09,512.24,1.32,-0.5,1196.98,5.79,1027.86,280.75
1494.1,-0.09,995.06,518.05,1.5,-0.59,1205.09,5.59,1017.71,272.74
1487.96,-0.16,995.08,498.7,1.22,-0.54,1207.14,6.66,975.3,264.67
1565.48,-0.11,995.1,520.5,1.31,-0.52,1215.23,6.45,987.0,267.06
1531.93,-0.15,995.11,509.17,1.13,-0.48,1250.16,7.36,960.75,258.43
1447.78,-0.19,995.12,532.17,1.2,-0.45,1287.51,6.95,990.84,241.89
1445.17,-0.15,995.11,555.59,1.38,-0.41,1292.39,6.94,985.61,237.34
1505.04,-0.14,995.13,570.24,1.23,-0.36,1301.19,6.3,995.01,224.7
1471.19,-0.14,995.14,545.69,1.12,-0.39,1323.91,5.32,970.98,216.86
1494.76,-0.1,995.11,496.83,0.98,-0.36,1408.98,6.26,957.56,206.32
1477.34,-0.16,995.11,486.07,1.05,-0.36,1390.33,6.06,967.05,215.73
1514.36,-0.16,995.1,497.67,0.98,-0.41,1410.93,6.68,1001.55,227.54
1469.51,-0.11,995.09,483.5,1.02,-0.38,1322.05,6.64,1041.61,234.92
1491.81,0.01,995.08,466.79,0.93,-0.42,1320.16,7.42,1094.17,253.53
1483.39,0.04,995.09,439.75,1.08,-0.48,1312.0,7.47,1144.78,240.9
1523.67,0.07,995.13,400.97,1.0,-0.51,1262.14,7.16,1169.76,240.06
1521.6,0.05,995.15,414.85,0.85,-0.49,1309.25,6.54,1162.22,236.26
1606.64,0.07,995.18,424.67,0.79,-0.58,1326.46,6.51,1120.65,211.92
1588.56,0.12,995.2,445.5,0.66,-0.54,1351.52,5.9,1084.12,208.28
1604.66,0.1,995.23,441.33,0.82,-0.58,1415.06,5.74,1043.06,212.5
1649.94,0.03,995.3,472.87,0.77,-0.59,1429.62,5.41,1015.08,205.36
1622.87,-0.01,995.31,484.62,0.59,-0.56,1408.01,4.76,972.93,223.39
1651.87,0.0,995.4,466.53,0.57,-0.6,1375.6,4.55,1041.64,236.72
1637.43,0.07,995.41,471.02,0.67,-0.69,1366.67,5.03,1018.22,235.98
1681.02,0.0,995.44,473.95,0.73,-0.69,1337.24,4.6,1028.97,243.47
1706.76,0.02,995.45,464.37,0.88,-0.69,1297.01,3.58,1037.39,233.2
1796.64,0.02,995.42,458.66,1.08,-0.67,1279.49,3.91,1024.8,223.21
1851.94,-0.11,995.49,454.53,0.91,-0.69,1324.79,4.73,1029.24,214.91
1750.29,-0.01,995.48,434.62,0.99,-0.62,1260.22,3.99,994.96,239.66
1685.84,0.06,995.46,416.96,1.12,-0.64,1264.78,4.92,1013.2,219.06
1662.01,0.06,995.43,432.41,0.97,-0.54,1222.66,5.16,997.67,228.42
1649.01,0.12,995.47,447.5,0.8,-0.6,1256.98,5.78,982.21,239.83
1504.63,0.06,995.51,453.72,0.96,-0.56,1261.55,5.52,955.62,239.91
1449.63,-0.0,995.58,478.69,0.76,-0.39,1266.57,5.73,964.53,228.77
1529.47,0.05,995.68,483.39,0.68,-0.41,1229.02,5.38,991.97,237.14
1585.5,0.06,995.7,501.25,0.74,-0.31,1265.12,5.44,1018.19,230.94
1592.9,0.08,995.72,504.72,0.76,-0.42,1358.35,5.61,945.76,242.51
1547.15,0.0,995.72,487.36,0.81,-0.39,1404.67,5.72,947.57,234.49
1560.18,-0.05,995.73,483.54,0.73,-0.4,1376.5,5.63,1000.35,245.9
1523.79,-0.04,995.75,514.46,0.67,-0.43,1408.33,6.34,975.97,262.55
1533.3,0.03,995.75,492.6,0.61,-0.49,1290.48,7.4,968.41,243.27
1548.5,0.12,995.72,472.55,0.67,-0.49,1308.91,6.9,977.27,254.98
1629.13,0.07,995.72,465.18,0.67,-0.47,1257.69,7.26,1015.62,263.24
1706.52,0.1,995.73,488.31,0.7,-0.48,1277.76,6.91,1050.09,256.08
1779.04,0.1,995.73,489.71,0.8,-0.47,1271.96,6.7,1108.7,266.95
1636.85,0.19,995.76,486.4,0.82,-0.52,1270.05,6.75,1074.89,286.37
1619.74,0.21,995.76,499.24,0.97,-0.52,1202.45,6.58,1035.65,279.48
1602.84,0.16,995.78,468.82,1.07,-0.55,1198.29,6.69,1044.24,287.43
1569.42,0.14,995.8,498.23,1.19,-0.52,1171.8,6.8,1021.09,285.51
1544.24,0.14,995.81,516.73,1.1,-0.51,1159.33,7.09,1026.43,278.29
1591.44,0.12,995.81,529.49,1.09,-0.59,1113.7,6.93,1012.89,277.77
1596.66,0.06,995.8,524.88,1.06,-0.49,1183.37,6.85,995.96,255.89
1561.78,0.05,995.8,496.94,1.28,-0.51,1180.55,7.03,966.19,263.72
1568.52,-0.03,995.86,522.47,1.08,-0.45,1176.05,7.36,925.05,270.51
1559.7,-0.04,995.91,509.38,1.07,-0.39,1199.33,6.28,972.05,260.25
1477.09,-0.11,995.88,501.87,1.16,-0.43,1176.29,6.5,964.81,280.49
1484.41,-0.03,995.9,517.31,1.25,-0.48,1115.86,7.03,950.37,291.77
1490.57,-0.09,995.89,514.63,1.15,-0.54,1008.42,7.64,996.88,279.36
1557.74,-0.12,995.88,501.02,1.01,-0.46,1039.23,7.7,956.03,261.99
1567.91,-0.15,995.91,516.87,1.13,-0.44,1016.26,7.42,1010.81,260.05
1536.0,-0.18,995.92,504.95,1.18,-0.46,1079.52,7.53,976.21,226.51
1575.81,-0.21,995.91,488.04,1.37,-0.46,1071.39,8.32,984.62,213.48
1535.21,-0.16,995.91,503.8,1.33,-0.4,1043.75,8.05,998.11,218.19
1531.25,-0.14,995.9,512.67,1.35,-0.37,1094.99,7.09,977.18,222.0
1554.16,-0.11,995.87,531.96,1.23,-0.24,1138.15,5.93,1009.0,220.44
1506.97,-0.11,995.84,530.05,1.34,-0.31,1159.25,6.25,1024.89,224.59
1499.77,-0.13,995.84,559.46,1.34,-0.35,1183.0,6.45,1082.11,224.34
1448.12,-0.14,995.84,548.46,1.41,-0.36,1210.16,6.29,1022.87,222.62
1392.33,-0.13,995.85,545.66,1.45,-0.36,1214.02,6.62,952.86,226.68
1297.21,-0.13,995.85,537.08,1.26,-0.42,1232.57,6.46,952.94,248.64
1366.01,-0.15,995.88,537.15,1.15,-0.37,1174.18,6.22,911.93,247.04
1392.82,-0.17,995.89,519.85,1.18,-0.45,1182.13,6.19,964.13,250.96
1349.58,-0.19,995.88,513.28,1.14,-0.43,1182.87,5.44,907.85,248.79
1392.06,-0.23,995.85,489.17,1.0,-0.46,1286.52,5.45,904.33,241.44
1410.12,-0.23,995.85,459.67,0.95,-0.42,1276.81,5.01,921.76,262.2
1450.21,-0.23,995.83,462.09,0.99,-0.37,1280.72,5.43,909.64,278.82
1416.21,-0.24,995.8,455.69,0.95,-0.3,1227.81,5.2,907.86,282.39
1510.32,-0.26,995.77,491.65,1.07,-0.37,1215.68,4.98,889.49,300.43
1515.84,-0.25,995.77,495.8,0.87,-0.39,1275.21,5.82,925.06,292.51
1496.14,-0.25,995.78,501.6,0.81,-0.42,1237.84,5.69,918.5,266.33
1437.72,-0.27,995.76,483.98,0.86,-0.43,1249.19,5.68,967.74,256.46
1433.4,-0.31,995.74,477.9,0.92,-0.41,1265.21,6.12,979.95,249.32
1397.73,-0.2,995.69,464.6,1.09,-0.46,1330.11,5.83,951.82,247.19
1395.78,-0.24,995.72,513.16,1.38,-0.37,1379.84,5.34,957.74,249.38
1340.93,-0.21,995.79,514.24,1.36,-0.43,1376.29,4.84,968.07,251.8
1338.13,-0.22,995.76,519.99,1.1,-0.42,1377.94,4.79,946.08,245.72
1440.34,-0.19,995.8,471.76,1.05,-0.45,1397.68,4.06,931.69,252.99
1429.69,-0.16,995.78,520.23,1.13,-0.45,1368.63,4.01,947.29,271.44
1432.44,-0.2,995.79,477.84,0.93,-0.43,1304.9,4.78,978.56,271.78
1428.99,-0.24,995.8,501.69,0.9,-0.55,1313.0,5.52,1015.61,276.58
1486.18,-0.2,995.75,498.56,1.12,-0.59,1365.77,5.33,944.64,254.25
1500.61,-0.13,995.82,530.33,1.28,-0.56,1292.08,5.28,971.23,238.06
1505.98,-0.19,995.84,517.44,1.4,-0.57,1308.36,5.74,992.44,210.41
1506.09,-0.23,995.83,487.74,1.48,-0.56,1331.82,5.45,1013.52,201.76
1542.27,-0.15,995.81,462.78,1.41,-0.52,1350.43,5.96,1016.17,193.53
1586.28,-0.18,995.8,469.81,1.5,-0.51,1348.71,6.3,962.91,218.84
1557.1,-0.23,995.79,479.09,1.37,-0.52,1343.32,6.45,962.62,192.08
1566.7,-0.16,995.78,474.97,1.44,-0.55,1275.31,6.12,965.36,202.98
1663.22,-0.09,995.76,444.57,1.39,-0.51,1312.19,5.58,944.71,203.91
1632.89,-0.07,995.76,418.56,1.4,-0.45,1375.57,6.6,973.85,206.3
1639.59,-0.05,995.73,455.13,1.37,-0.46,1415.8,6.2,1014.39,220.04
1634.22,-0.03,995.73,435.45,1.46,-0.46,1437.27,6.68,979.27,221.59
1709.51,-0.04,995.74,408.14,1.38,-0.48,1418.94,6.75,957.71,225.72
1722.31,-0.11,995.75,383.58,1.54,-0.43,1423.97,6.4,959.47,219.34
1662.04,-0.15,995.77,399.0,1.51,-0.45,1418.45,6.88,976.84,234.32
1731.35,-0.11,995.76,413.93,1.32,-0.46,1453.49,6.55,968.77,241.25
1710.54,-0.08,995.78,427.58,1.33,-0.33,1450.07,7.03,1034.18,256.91
1674.11,-0.02,995.78,410.42,1.44,-0.33,1348.16,7.15,989.57,244.69
1671.69,-0.02,995.79,402.62,1.53,-0.31,1418.41,6.86,976.08,244.79
1682.55,-0.02,995.8,419.28,1.41,-0.28,1402.46,7.51,995.88,238.1
1678.99,0.04,995.8,405.38,1.4,-0.25,1415.53,7.63,1013.8,263.96
1780.29,0.03,995.8,380.74,1.25,-0.29,1419.0,7.54,1014.51,280.76
1790.7,-0.01,995.83,352.17,1.33,-0.3,1464.83,7.02,1001.86,289.23
1746.55,-0.11,995.84,347.93,1.14,-0.41,1466.31,6.63,964.23,272.71
1771.29,-0.09,995.87,347.16,1.16,-0.42,1428.02,7.04,959.49,290.85
1659.7,-0.13,995.86,405.42,1.28,-0.44,1467.44,7.9,987.9,283.65
1639.17,-0.09,995.9,422.72,1.31,-0.4,1403.37,7.46,960.43,274.86
1654.03,-0.05,995.89,421.99,1.27,-0.35,1394.3,6.79,982.27,276.85
1597.04,0.06,995.88,437.15,1.31,-0.39,1423.73,6.82,963.19,278.53
1570.74,-0.02,995.89,455.19,1.23,-0.4,1412.3,6.12,951.55,293.29
1521.18,-0.04,995.88,459.42,1.23,-0.32,1416.44,6.39,964.65,286.67
1524.11,0.02,995.88,458.33,1.17,-0.28,1377.09,6.5,988.04,291.29
1495.4,-0.01,995.88,439.59,1.1,-0.27,1376.5,6.5,1005.41,291.27
1545.75,-0.0,995.89,450.23,1.02,-0.31,1352.45,6.97,979.71,287.83
1517.0,-0.01,995.9,443.96,1.09,-0.4,1334.4,7.01,964.97,285.24
1529.91,-0.09,995.91,402.64,1.22,-0.42,1264.46,7.32,980.09,322.06
1527.23,-0.12,995.93,434.77,1.22,-0.5,1306.25,8.32,975.4,316.59
1576.19,-0.19,995.91,456.78,1.21,-0.55,1304.16,7.92,959.47,310.44
1496.67,-0.14,995.9,472.76,1.12,-0.53,1291.33,7.82,983.83,298.84
1481.4,-0.1,995.91,477.65,1.12,-0.48,1253.53,7.21,974.88,292.48
1551.56,-0.01,995.89,452.39,1.1,-0.41,1307.86,7.89,962.54,276.47
1572.69,0.02,995.89,430.17,1.14,-0.45,1279.27,7.93,990.71,270.35
1558.53,-0.01,995.89,421.91,1.04,-0.37,1240.53,8.35,932.03,261.84
1586.63,-0.04,995.91,421.9,1.06,-0.41,1204.99,8.54,986.25,275.94
1607.16,-0.07,995.91,413.78,1.06,-0.41,1259.52,8.49,966.66,284.14
1593.96,-0.15,995.91,417.78,1.16,-0.38,1326.11,7.43,950.25,280.04
1547.04,-0.11,995.89,445.37,1.01,-0.27,1328.79,7.95,905.26,286.2
1547.53,-0.16,995.92,464.48,1.08,-0.24,1259.86,8.3,875.79,281.74
1548.07,-0.16,995.91,453.97,1.02,-0.26,1247.15,7.49,893.72,281.14
1647.47,-0.14,995.89,428.86,0.9,-0.2,1210.98,7.6,863.7,294.79
1603.79,-0.18,995.92,397.44,0.89,-0.25,1208.66,8.17,857.61,281.58
1576.43,-0.16,995.91,390.85,0.92,-0.34,1180.94,7.78,856.95,282.69
1647.18,-0.08,995.9,378.34,0.9,-0.32,1175.2,8.38,854.61,274.24
1647.86,-0.05,995.89,428.94,0.87,-0.42,1172.14,8.33,864.2,280.53
1643.41,-0.04,995.92,399.95,0.91,-0.36,1227.64,8.42,830.14,274.66
1577.71,0.01,995.93,348.62,1.07,-0.36,1254.19,8.62,843.9,284.15
1583.87,-0.08,996.0,335.56,0.87,-0.37,1233.76,8.24,896.28,278.66
1538.86,-0.05,996.07,342.5,0.86,-0.42,1207.8,8.09,949.69,276.69
1596.28,-0.13,996.08,351.51,0.98,-0.33,1214.72,7.17,983.54,293.09
1564.92,-0.1,996.08,357.41,0.97,-0.36,1147.86,6.86,994.77,308.61
1642.24,-0.1,996.07,359.83,0.99,-0.42,1192.22,6.92,1022.71,326.56
1582.8,-0.05,996.07,406.58,1.08,-0.36,1268.67,7.08,1035.27,318.83
1527.82,-0.01,996.1,414.23,1.01,-0.37,1306.09,7.48,1065.49,331.45
1543.71,0.0,996.11,439.22,1.03,-0.39,1381.67,7.15,1013.78,327.01
1514.95,-0.11,996.11,416.77,1.07,-0.33,1446.12,6.29,1028.28,332.64
1501.09,-0.11,996.09,381.27,1.2,-0.49,1427.43,6.78,1022.35,337.18
1568.58,-0.1,996.11,398.93,1.13,-0.48,1426.02,6.07,1047.56,328.45
1562.05,-0.16,996.1,422.33,1.2,-0.42,1425.93,6.75,998.47,333.19
1519.47,-0.27,996.09,423.42,1.2,-0.38,1393.46,5.93,976.14,314.71
1634.85,-0.22,996.04,401.61,1.04,-0.46,1407.48,6.41,987.04,327.0
1626.22,-0.18,996.06,402.31,1.06,-0.5,1301.27,6.51,970.74,298.97
1581.6,-0.23,996.04,382.64,1.07,-0.46,1341.97,6.79,1036.58,300.62
1563.21,-0.19,996.02,389.44,0.91,-0.4,1359.14,6.0,1053.5,282.12
1528.61,-0.22,996.02,408.79,0.9,-0.42,1369.41,6.59,1052.9,283.44
1491.61,-0.15,995.99,413.1,0.89,-0.43,1378.62,6.35,1064.86,303.64
1544.43,-0.13,995.98,430.95,1.1,-0.36,1414.15,5.95,1057.57,299.1
1552.76,-0.12,996.04,443.73,1.02,-0.34,1413.38,5.61,1041.92,301.08
1597.62,-0.13,996.04,400.96,1.22,-0.39,1342.38,5.57,1054.32,290.92
1548.05,-0.07,996.1,421.71,1.15,-0.34,1294.45,5.96,1058.61,298.36
1618.77,-0.06,996.1,434.3,1.02,-0.4,1292.86,6.35,1036.26,283.99
1616.16,-0.08,996.13,427.5,1.04,-0.38,1335.0,6.63,967.07,283.1
1664.97,-0.14,996.13,452.56,1.11,-0.44,1353.66,6.05,918.77,268.87
1610.89,-0.19,996.13,453.57,1.06,-0.49,1393.24,6.27,891.63,274.3
1578.77,-0.22,996.12,449.57,1.03,-0.47,1370.5,6.11,867.97,284.1
1525.1,-0.2,996.09,426.6,0.99,-0.49,1371.63,6.76,861.44,261.58
1515.07,-0.25,996.07,418.68,0.71,-0.5,1320.32,6.37,867.76,261.16
1558.78,-0.31,996.21,444.58,0.79,-0.45,1381.43,6.45,916.95,262.47
1583.07,-0.31,996.19,471.9,0.65,-0.42,1312.67,6.57,878.27,245.4
1550.65,-0.3,996.21,485.92,0.67,-0.4,1350.4,6.44,856.81,225.08
1532.04,-0.18,996.17,482.25,0.71,-0.32,1340.33,6.97,867.36,223.12
1537.93,-0.2,996.15,473.95,0.87,-0.45,1333.71,7.51,880.74,229.23
1538.49,-0.32,996.2,468.36,1.0,-0.44,1319.41,6.67,895.24,234.2
1552.73,-0.24,996.16,473.93,0.88,-0.49,1263.32,7.57,893.85,232.21
1655.83,-0.14,996.13,459.54,1.02,-0.51,1222.16,8.22,922.94,253.69
1568.44,-0.21,996.16,483.55,0.95,-0.49,1262.02,8.03,997.18,247.55
1539.96,-0.26,996.16,481.75,0.88,-0.48,1278.48,7.83,1021.66,257.54
1555.34,-0.15,996.14,452.85,0.93,-0.58,1268.59,7.24,1054.35,235.73
1550.1,-0.08,996.13,444.11,0.97,-0.56,1280.6,6.51,1059.87,238.15
1456.83,-0.08,996.11,466.23,1.04,-0.54,1298.24,6.58,1032.81,223.92
1429.09,-0.06,996.13,466.31,1.02,-0.46,1259.65,6.21,994.23,224.96
1524.19,-0.05,996.13,463.24,0.97,-0.41,1271.16,6.47,1033.75,228.76
1546.71,-0.0,996.14,465.36,1.02,-0.41,1246.56,6.43,1022.6,232.76
1592.82,0.03,996.15,473.84,0.93,-0.43,1298.19,5.47,1037.95,239.32
1617.71,-0.07,996.13,475.72,0.84,-0.61,1319.93,5.12,1016.56,241.54
1577.82,-0.1,996.14,474.97,1.05,-0.69,1348.28,5.58,968.6,238.87
1561.01,-0.06,996.21,449.15,1.04,-0.64,1371.35,5.6,979.41,221.63
1595.85,-0.13,996.21,453.45,1.02,-0.56,1376.95,6.14,930.36,235.37
1722.37,-0.11,996.2,481.87,0.87,-0.5,1392.91,6.62,1013.61,263.23
1686.5,-0.14,996.26,480.25,0.78,-0.63,1350.54,6.58,1042.21,249.85
1652.89,-0.28,996.27,470.78,0.77,-0.55,1391.64,6.86,1045.65,237.58
1679.61,-0.14,996.23,443.26,0.62,-0.44,1413.55,7.38,1052.0,252.62
1711.22,-0.17,996.3,441.94,0.52,-0.44,1336.35,7.04,1091.48,251.18
1709.36,-0.15,996.33,441.67,0.46,-0.44,1292.73,6.82,1022.11,253.27
1782.1,-0.23,996.35,444.84,0.61,-0.49,1216.55,7.01,1052.2,270.96
1881.27,-0.17,996.46,455.02,0.52,-0.5,1188.74,6.37,1018.9,257.94
1929.03,-0.16,996.48,417.12,0.51,-0.52,1093.85,6.35,1040.92,272.47
1957.11,-0.07,996.48,441.91,0.57,-0.52,1081.93,6.05,1014.55,286.76
1939.77,-0.01,996.5,475.37,0.56,-0.51,1059.05,5.34,1040.87,304.35
1820.74,-0.09,996.49,497.84,0.7,-0.51,1072.83,5.57,1051.03,311.29
1811.6,-0.03,996.58,469.25,0.85,-0.51,1092.86,5.86,1027.1,294.85
1785.36,-0.12,996.64,470.39,0.88,-0.43,1040.67,6.39,1051.35,295.31
1864.17,-0.13,996.63,451.61,0.9,-0.4,1050.57,7.07,1064.09,296.75
1817.99,-0.08,996.61,478.74,0.91,-0.47,1021.56,6.27,1080.96,293.2
1792.87,-0.1,996.6,452.27,0.92,-0.38,1094.4,5.55,1089.72,302.52
1876.47,-0.02,996.57,450.91,0.88,-0.38,1085.75,5.8,1077.36,302.52
1718.03,-0.01,996.58,442.03,0.99,-0.37,1080.38,6.54,1069.81,270.79
1796.27,0.0,996.6,421.79,1.3,-0.36,1064.9,7.43,1033.4,288.95
1695.58,-0.09,996.71,417.57,1.23,-0.4,1104.83,6.77,997.93,304.45
1672.13,-0.01,996.71,432.33,1.34,-0.41,1163.01,7.44,915.43,303.7
1703.39,-0.08,996.72,410.44,1.29,-0.36,1238.92,7.16,930.17,278.05
1721.07,-0.0,996.72,408.38,1.16,-0.36,1247.27,6.75,1008.02,247.95
1663.39,-0.03,996.74,435.82,1.12,-0.36,1286.07,5.72,1009.3,247.36
1771.77,-0.1,996.71,409.13,1.15,-0.21,1283.87,5.86,951.93,271.78
1713.75,-0.06,996.73,426.56,1.26,-0.22,1290.6,5.88,965.08,264.04
1671.46,-0.04,996.75,419.25,1.24,-0.26,1283.34,5.67,985.99,283.94
1700.38,-0.01,996.75,427.08,1.4,-0.16,1234.28,4.48,1001.84,259.56
1668.46,-0.12,996.69,435.86,1.44,-0.23,1255.24,3.76,972.7,257.72
1640.05,-0.17,996.65,435.71,1.42,-0.32,1270.57,4.1,992.56,256.57
1725.72,-0.22,996.63,454.82,1.44,-0.33,1287.98,3.37,938.07,255.83
1746.45,-0.22,996.57,451.35,1.26,-0.28,1298.19,3.48,988.52,257.84
1738.56,-0.21,996.58,446.09,1.32,-0.3,1339.65,4.44,994.19,254.1
1745.32,-0.2,996.48,443.77,1.33,-0.36,1346.39,4.8,1002.77,267.96
1791.52,-0.21,996.45,442.38,1.23,-0.41,1309.33,5.0,1020.2,249.09
1724.86,-0.16,996.44,442.73,1.23,-0.46,1263.55,5.55,977.27,240.95
1673.39,-0.15,996.42,428.92,1.06,-0.46,1216.56,5.84,932.88,238.25
1769.89,-0.13,996.44,439.49,1.06,-0.47,1214.77,6.01,913.2,245.13
1787.76,-0.1,996.44,402.09,1.03,-0.43,1283.56,6.37,917.25,241.14
1795.12,-0.05,996.44,416.6,0.8,-0.44,1333.42,6.63,1009.84,262.08
1831.51,-0.06,996.56,422.17,0.75,-0.48,1381.12,7.31,1028.04,252.95
1798.5,-0.04,996.55,420.44,0.65,-0.44,1328.92,7.1,1051.76,262.58
1878.02,0.0,996.58,446.12,0.56,-0.46,1366.56,6.6,1064.89,274.52
1876.12,0.02,996.62,449.85,0.7,-0.33,1395.31,7.39,1042.32,274.49
1831.89,0.02,996.69,464.39,0.56,-0.35,1357.16,6.81,1103.0,250.07
1775.5,-0.01,996.77,444.13,0.56,-0.34,1282.6,6.59,1145.4,249.54
1740.26,-0.13,996.77,456.29,0.85,-0.34,1284.78,6.75,1154.46,264.34
1667.35,-0.17,997.06,439.91,0.92,-0.32,1320.77,6.32,1110.88,270.16
1660.86,-0.17,997.06,448.85,0.76,-0.3,1359.86,5.89,1084.41,253.45
1684.75,-0.13,997.1,397.82,0.78,-0.27,1322.34,6.1,1067.41,247.36
1578.84,-0.08,997.11,391.8,0.89,-0.2,1328.83,5.89,1021.28,248.73
1524.65,-0.02,997.15,397.13,0.83,-0.26,1297.84,6.06,1018.01,270.49
1564.1,-0.11,997.16,412.54,0.69,-0.29,1260.92,6.32,1028.79,261.79
1651.11,-0.05,997.21,377.75,0.69,-0.25,1342.88,6.64,1049.91,276.17
1634.69,-0.1,997.22,373.09,0.75,-0.15,1357.55,6.64,1048.43,278.56
1658.01,-0.11,997.23,382.83,0.72,-0.18,1337.89,6.98,1039.32,259.28
1673.07,-0.11,997.22,432.08,0.77,-0.32,1296.18,7.46,1028.44,253.1
1554.73,-0.15,997.24,424.06,0.84,-0.33,1258.35,6.88,1034.18,245.46
1546.16,-0.12,997.24,451.49,0.73,-0.31,1282.82,6.9,1070.47,262.43
1502.8,-0.05,997.27,472.97,0.7,-0.28,1268.16,6.86,1068.11,258.85
1404.13,-0.01,997.28,460.68,0.66,-0.27,1303.71,6.48,1058.38,267.36
1387.91,-0.04,997.29,449.17,0.58,-0.26,1311.88,6.48,1061.02,260.98
1338.49,-0.06,997.32,469.14,0.51,-0.22,1265.39,6.75,1102.01,262.96
1393.8,-0.0,997.36,492.33,0.59,-0.18,1267.33,6.35,1089.65,246.03
1415.29,-0.0,997.4,484.5,0.55,-0.1,1271.18,6.36,1083.69,251.67
1511.63,0.03,997.41,438.22,0.52,-0.2,1188.4,6.96,1061.07,255.17
1444.93,-0.12,997.43,483.61,0.7,-0.24,1164.24,5.94,1084.62,247.45
1531.5,-0.16,997.55,477.18,0.79,-0.17,1205.55,5.62,1096.4,238.53
1530.47,-0.14,997.56,457.71,0.79,-0.18,1223.29,5.68,1056.96,243.54
1628.91,-0.15,997.56,450.53,0.93,-0.19,1218.31,5.46,1062.71,226.22
1621.44,-0.12,997.6,469.09,0.93,-0.2,1294.84,5.1,1043.16,228.55
1674.85,-0.17,997.58,497.18,0.9,-0.11,1297.69,5.53,1029.77,260.15
1730.11,-0.18,997.57,444.25,0.91,-0.18,1301.01,4.68,986.9,251.08
1676.11,-0.2,997.54,424.64,0.82,-0.22,1315.7,5.08,992.6,252.91
1604.38,-0.22,997.53,454.14,0.85,-0.28,1309.24,6.89,978.05,256.65
1477.58,-0.18,997.4,437.73,0.96,-0.36,1376.91,7.7,1016.19,256.18
1443.65,-0.11,997.41,449.81,1.02,-0.36,1371.5,7.35,994.25,268.62
1508.3,-0.13,997.41,451.51,1.14,-0.39,1322.85,8.11,1003.99,278.92
1498.16,-0.13,997.41,452.73,1.15,-0.37,1274.86,8.73,1027.86,281.5
1549.28,-0.18,997.39,454.17,1.42,-0.34,1282.24,9.13,1022.32,260.93
1608.03,-0.19,997.45,485.14,1.47,-0.35,1296.81,8.78,1072.22,274.12
1559.57,-0.29,997.45,476.17,1.53,-0.31,1233.71,8.83,1085.83,277.72
1581.85,-0.28,997.41,504.78,1.47,-0.33,1300.1,8.5,1101.95,281.12
1536.83,-0.22,997.37,490.98,1.45,-0.38,1356.64,7.91,1044.52,283.29
1370.15,-0.26,997.35,503.18,1.43,-0.41,1374.55,8.15,1089.19,277.96
1364.0,-0.19,997.35,469.38,1.53,-0.36,1326.19,7.56,1070.57,278.02
1445.05,-0.15,997.33,483.69,1.62,-0.24,1304.05,7.15,1025.84,277.19
1464.03,-0.21,997.33,500.63,1.5,-0.37,1317.64,7.0,1069.53,272.1
1419.34,-0.16,997.33,468.93,1.41,-0.39,1293.75,6.6,1109.49,275.13
1497.24,-0.15,997.33,468.97,1.37,-0.49,1431.78,7.06,1098.11,274.66
1510.32,-0.15,997.3,458.63,1.26,-0.46,1430.55,7.07,1070.55,299.83
1548.25,-0.12,997.31,460.96,1.25,-0.5,1385.19,6.58,1088.44,289.11
1600.21,-0.06,997.29,465.4,1.26,-0.56,1373.75,5.94,1112.78,297.98
1572.23,-0.05,997.28,494.07,1.4,-0.51,1370.86,5.87,1081.41,303.6
1639.62,-0.06,997.3,489.07,1.34,-0.54,1337.55,6.34,1058.85,299.53
1685.96,-0.1,997.3,453.25,1.18,-0.55,1330.42,7.58,1140.5,286.18
1660.77,-0.18,997.3,424.5,1.08,-0.55,1260.77,7.69,1158.42,302.97
1632.97,-0.17,997.3,418.45,1.15,-0.61,1224.77,7.61,1208.39,304.38
1577.81,-0.1,997.3,406.84,1.17,-0.52,1206.7,6.72,1140.98,315.96
1559.49,-0.01,997.28,455.57,1.05,-0.53,1252.12,6.42,1133.0,338.4
1547.1,-0.06,997.32,415.37,0.96,-0.51,1287.39,5.26,1086.23,333.89
1490.26,-0.1,997.29,463.41,1.02,-0.46,1304.21,5.1,1044.63,332.41
1464.64,-0.14,997.32,478.47,0.97,-0.51,1357.64,5.42,1044.39,325.34
1526.34,-0.17,997.31,466.23,0.75,-0.55,1372.57,4.91,1026.41,300.14
1551.25,-0.15,997.39,468.27,0.56,-0.43,1358.48,5.29,987.21,288.12
1516.04,-0.19,997.52,464.65,0.46,-0.35,1398.01,5.29,1054.14,289.07
1572.77,-0.19,997.58,487.18,0.54,-0.35,1328.99,4.65,1030.27,267.66
1548.07,-0.25,997.59,487.07,0.64,-0.35,1354.73,5.0,1016.48,248.56
